Date,TextBlob,Vader
2017-12-16,0.13270202020202018,0.5668666666666667
2017-12-17,0.16323580633925464,0.2758724137931034
2017-12-18,0.18994064797636223,0.05874761904761906
2017-12-19,0.10387361992013151,0.16618372093023256
2017-12-20,0.1459760874046588,0.14202857142857142
2017-12-21,0.19082637600494742,0.20013428571428574
2017-12-22,0.047899728997289975,0.16791951219512197
2017-12-23,0.15189020749365578,0.14993103448275857
2017-12-24,0.14438832772166107,0.2166074074074074
2017-12-25,0.3097485847485847,0.28638846153846154
2017-12-26,0.17255136838470178,0.16360512820512818
2017-12-27,0.07757749912922327,0.16091724137931035
2017-12-28,0.1215151515151515,0.16894848484848485
2017-12-29,0.11609132802681188,0.1525548387096774
2017-12-30,0.21413708513708513,0.193196
2017-12-31,0.12186979686979688,0.10668461538461536
2018-01-01,0.11653744403744405,0.15106538461538463
2018-01-02,0.09439935064935066,0.21375000000000002
2018-01-03,0.11118181818181819,0.09239428571428573
2018-01-04,0.10054199735449736,0.10627333333333334
2018-01-05,0.05527129554473305,0.06514375000000001
2018-01-06,0.12311907338693052,0.23140357142857143
2018-01-07,0.07877852182539681,0.06757187500000002
2018-01-08,0.034606924508240294,0.0670921052631579
2018-01-09,0.1323813852813852,0.12803199999999998
2018-01-10,0.1284209011887583,0.13656190476190475
2018-01-11,0.12832210998877663,0.15375111111111114
2018-01-12,0.09781401196842375,0.13511764705882356
2018-01-13,0.013341643475572049,0.1746357142857143
2018-01-14,0.13239824351893317,0.09511724137931034
2018-01-15,0.10668801106301107,0.07993333333333329
2018-01-16,0.1988178256928257,0.25681346153846163
2018-01-17,0.13127831890331892,0.07720750000000001
2018-01-18,0.16689674400802448,0.1717731707317073
2018-01-19,0.15288693816471596,0.1285622222222222
2018-01-20,0.14934236184236188,0.15765135135135136
2018-01-21,0.16868954321540533,0.2481862068965517
2018-01-22,0.13294733044733045,0.19008064516129033
2018-01-23,0.09901078453710033,0.10347894736842105
2018-01-24,0.12251946548821548,0.030591666666666666
2018-01-25,0.08631427693927694,-0.11489189189189188
2018-01-26,0.03402468563182848,0.11763714285714286
2018-01-27,0.12768759018759018,0.02850740740740742
2018-01-28,0.03716852839620697,0.1365357142857143
2018-01-29,0.00685807050092765,-0.04164
2018-01-30,0.12290321583178725,0.1641714285714286
2018-01-31,0.1678105378105378,0.1485297297297297
2018-02-01,0.16613086648800937,0.24274126984126987
2018-02-02,0.07519807236788367,0.08529622641509434
2018-02-03,0.08950817700817702,0.07609259259259261
2018-02-04,0.1527930823385369,0.06851515151515152
2018-02-05,0.10807038640371974,0.15253111111111115
2018-02-06,0.11472119150690575,0.06386122448979592
2018-02-07,0.07799943883277216,0.1339888888888889
2018-02-08,0.10167080861525309,0.12378518518518519
2018-02-09,0.14312950937950938,0.16988750000000002
2018-02-10,0.1413104013104013,0.15032702702702705
2018-02-11,0.09364995189995189,0.13689666666666664
2018-02-12,0.10852553639438887,0.06390491803278689
2018-02-13,0.06314705496523679,0.16359772727272726
2018-02-14,0.19044694044694047,0.24024594594594592
2018-02-15,0.06947966507177032,0.008755263157894728
2018-02-16,0.11012396694214875,0.14081818181818181
2018-02-17,0.13414923039923038,0.04573666666666667
2018-02-18,0.060649463383838365,0.086003125
2018-02-19,0.11090488215488213,0.11982333333333334
2018-02-20,0.09868015705225007,0.12083720930232555
2018-02-21,0.046267861542251786,-0.004934146341463409
2018-02-22,0.08904586404586404,0.1790918918918919
2018-02-23,0.16308579985905566,0.12487906976744183
2018-02-24,0.17350041311734862,0.14530322580645166
2018-02-25,0.07172037192198483,-0.041816129032258065
2018-02-26,0.17717222592222595,0.15060769230769233
2018-02-27,0.08440130471380473,0.054006250000000006
2018-02-28,0.1787787176274019,0.18078157894736843
2018-03-01,0.1038465966657456,0.09695319148936173
2018-03-02,0.1653398239068971,0.14789512195121957
2018-03-03,0.14625453375453373,0.07257297297297298
2018-03-04,0.08319444444444445,0.20638000000000004
2018-03-05,0.13898705404802963,0.15199024390243904
2018-03-06,0.1509394206616429,0.19754444444444447
2018-03-07,0.12065295082063376,0.10594390243902442
2018-03-08,0.11904871889627988,0.15437804878048786
2018-03-09,0.15455146705146705,0.17405641025641028
2018-03-10,0.1292857142857143,0.1385666666666667
2018-03-11,0.18105609668109673,0.09330000000000001
2018-03-12,0.18127852504638223,0.10632857142857143
2018-03-13,0.06662747162747162,0.06742432432432434
2018-03-14,0.050990013774104684,-0.07493181818181821
