Date,TextBlob,Vader
2018-03-04,0.011666408987837551,0.007049999999999993
2018-03-05,0.062394040447504295,0.03454759036144578
2018-03-06,0.05010157297391337,-0.0008792553191489282
2018-03-07,0.05532317431525179,0.006376291079812217
2018-03-08,0.05830280461621042,-0.0010632850241545984
2018-03-09,0.06506073949604647,-0.019360818713450297
2018-03-10,0.049239898989898986,-0.013212499999999992
2018-03-11,0.061551902958152965,-0.05870468750000001
2018-03-12,0.06356026732787297,-0.024872394366197176
2018-03-13,0.05904361224017715,-0.03841984732824425
2018-03-14,0.038176970153254754,-0.06789169960474307
